participant_id,session_id,QEI,qc_determination
19861,1,0.8378021235399254,pass
19861,2,0.8662958104236045,pass
20139,2,0.7945191895650136,pass
20139,3,0.8437930142971125,pass
20141,1,0.8721220413017828,pass
20149,1,0.6516608556303838,pass
20149,2,0.8221492907013632,pass
20149,3,0.7314718507227346,pass
20188,1,0.8194976820482245,pass
20188,2,0.8170884549250783,pass
20188,3,0.7843909743710329,pass
20212,1,0.781961599,pass
20214,1,0.2274202873085505,fail
20214,2,0.056637704,fail
20214,3,0.7779686688514823,pass
20236,1,0.4783746877925914,fail
20238,1,0.5169887557890579,fail
20238,2,0.8345288025363475,pass
20252,1,0.8496231243418152,pass
20252,2,0.8499431526824163,pass
20253,1,0.7883524320995764,pass
20253,2,0.8077109244857853,pass
20253,3,0.7578032297777233,pass
20258,1,0.7643882814407904,pass
20258,2,0.8589613048549352,pass
20259,1,4.420132990570274e-05,fail
20259,2,0.8105599487760677,pass
20302,1,0.7990818893212472,pass
20302,2,0.8174876295289152,pass
20303,2,0.8412835728791057,pass
20303,3,0.8110343169982719,pass
20305,1,0.4677860333442202,fail
20305,2,0.7923897756166948,pass
20310,1,0.002686904,fail
20310,2,0.811618541,pass
20328,1,0.8195834668796816,pass
20328,2,0.7133761343726169,pass
20333,1,0.7255227860578262,pass
20336,1,0.7898745072560446,pass
20347,1,0.8345074389796227,pass
20350,1,0.3744240089428251,fail
20352,1,0.8663176642523293,pass
20352,2,0.7562784643982877,pass
20399,2,0.7642920788252752,pass
20402,1,0.7773474295674445,pass
20403,1,0.7543731087701112,pass
20410,1,0.7931157573480392,pass
20427,1,0.7921544809080654,pass
20427,2,0.8620717146781369,pass
20463,1,0.057375275,fail
20463,2,0.7999783659245407,pass
20494,2,0.7505281092991932,pass
20494,3,0.819224327,pass
20533,1,0.8343273697728198,pass
20533,2,0.7282321530252945,pass
20572,1,0.8547490819328958,pass
20572,2,0.815143941,pass
20612,1,0.8434996229685049,pass
20626,1,0.763081772,pass
20626,2,0.7331108949605667,pass
20691,2,0.800497527,pass
20712,1,0.5273581126193199,fail
20712,2,0.8237186381669553,pass
20712,3,0.815300718,pass
20721,1,0.2216163219057627,fail
20721,2,0.8397712752899293,pass
20721,3,0.7394804231689894,pass
20724,1,0.6458346295907753,pass
20794,1,0.7928137503933238,pass
20812,2,0.5179837137378293,fail
20812,3,0.5158742064190073,fail
20818,1,0.8046082416165801,pass
20818,2,0.7508522468050645,pass
20823,1,0.8028839577891728,pass
20823,2,0.8469534943936069,pass
20836,1,0.060110894,fail
20836,2,0.8066011124378428,pass
20846,1,0,fail
20855,1,0.7955785731345258,pass
20860,1,0.8183258276940371,pass
20865,2,0.7807294263021985,pass
20866,1,0,fail
