"participant_id","session_id","task","run","missing_events_tsv","response_time_all_na","failed_fmri_QC","qc_determination"
21141,1,"nback",1,"pass","pass","pass","pass"
21141,2,"nback",1,"pass","pass","pass","pass"
21146,1,"nback",1,"pass","pass","pass","pass"
21150,1,"nback",1,"pass","pass","pass","pass"
21154,1,"nback",1,"pass","pass","pass","pass"
21154,2,"nback",1,"pass","pass","fail","fail"
21161,2,"nback",1,"pass","pass","pass","pass"
21161,3,"nback",1,"pass","fail","pass","fail"
21193,1,"nback",1,"pass","pass","pass","pass"
21193,2,"nback",1,"pass","pass","pass","pass"
21197,1,"nback",1,"pass","pass","pass","pass"
21224,1,"nback",1,"pass","pass","pass","pass"
21325,1,"nback",1,"pass","pass","pass","pass"
21325,2,"nback",1,"pass","pass","pass","pass"
21345,1,"nback",1,"pass","pass","pass","pass"
21432,1,"nback",1,"pass","pass","pass","pass"
21493,1,"nback",1,"pass","pass","fail","fail"
21493,2,"nback",1,"pass","pass","pass","pass"
21514,1,"nback",1,"pass","pass","pass","pass"
21516,1,"nback",1,"pass","pass","pass","pass"
21516,2,"nback",1,"pass","pass","pass","pass"
21539,1,"nback",1,"pass","pass","pass","pass"
21553,1,"nback",1,"fail","pass","pass","fail"
21553,2,"nback",1,"pass","pass","pass","pass"
21554,1,"nback",1,"pass","pass","pass","pass"
21554,2,"nback",1,"pass","pass","pass","pass"
21560,2,"nback",1,"pass","pass","pass","pass"
21567,1,"nback",1,"pass","pass","pass","pass"
21580,1,"nback",1,"pass","pass","pass","pass"
21580,2,"nback",1,"pass","pass","pass","pass"
21623,1,"nback",1,"pass","pass","pass","pass"
21623,2,"nback",1,"pass","pass","pass","pass"
21712,1,"nback",1,"pass","pass","pass","pass"
21712,2,"nback",1,"pass","pass","pass","pass"
21713,1,"nback",1,"fail","pass","pass","fail"
21713,2,"nback",1,"pass","pass","pass","pass"
21738,1,"nback",1,"pass","pass","pass","pass"
21797,1,"nback",1,"pass","pass","pass","pass"
21827,1,"nback",1,"pass","pass","pass","pass"
21855,1,"nback",1,"pass","pass","pass","pass"
21855,2,"nback",1,"pass","pass","pass","pass"
21856,1,"nback",1,"pass","pass","pass","pass"
22045,1,"nback",1,"pass","fail","pass","fail"
22045,2,"nback",1,"pass","pass","pass","pass"
22064,1,"nback",1,"pass","pass","pass","pass"
22064,2,"nback",1,"pass","pass","pass","pass"
22473,1,"nback",1,"pass","pass","pass","pass"
22473,2,"nback",1,"pass","pass","pass","pass"
22510,1,"nback",1,"pass","pass","pass","pass"
22510,2,"nback",1,"pass","pass","pass","pass"
22617,1,"nback",1,"pass","pass","pass","pass"
22617,2,"nback",1,"fail","pass","pass","fail"
22618,1,"nback",1,"pass","pass","pass","pass"
22618,2,"nback",1,"pass","pass","pass","pass"
22653,1,"nback",1,"pass","pass","fail","fail"
22653,2,"nback",1,"pass","pass","pass","pass"
22654,1,"nback",1,"pass","pass","pass","pass"
22654,2,"nback",1,"pass","pass","pass","pass"
22670,1,"nback",1,"pass","pass","pass","pass"
22744,1,"nback",1,"pass","pass","pass","pass"
22797,1,"nback",1,"pass","pass","pass","pass"
23303,1,"nback",1,"pass","pass","pass","pass"
23582,1,"nback",1,"pass","pass","pass","pass"
23676,1,"nback",1,"pass","pass","pass","pass"
23698,1,"nback",1,"pass","pass","pass","pass"
