participant_id,session_id,euler_LH,euler_RH,rater_1_slice_1,rater_1_slice_2,rater_1_slice_3,rater_1_slice_4,rater_2_slice_1,rater_2_slice_2,rater_2_slice_3,rater_2_slice_4,final_rating_slice_1,final_rating_slice_2,final_rating_slice_3,final_rating_slice_4,across_slices_final_average,qc_determination
sub-138950,ses-1,-22,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,pass 
sub-138950,ses-2,-24,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass 
sub-19861,ses-1,-12,-24,1,1,1,1,1,1,1,1,1,1,1,1,1,pass 
sub-19861,ses-2,-10,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass 
sub-20124,ses-1,-4,-10,1,0,1,1,1,0,1,1,1,0,1,1,0.75,artifact
sub-20125,ses-1,-14,-24,1,1,1,1,1,0,1,1,1,0,1,0,0.5,artifact
sub-20139,ses-1,-2,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20139,ses-2,0,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20139,ses-3,-10,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20141,ses-1,-10,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20149,ses-1,-6,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20149,ses-2,-24,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20149,ses-3,-16,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20188,ses-1,-80,-60,1,1,1,1,1,0,0,0,0,0,0,0,0,fail
sub-20188,ses-2,-10,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20188,ses-3,-8,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20212,ses-1,-18,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20214,ses-1,-20,-20,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20214,ses-2,-14,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20214,ses-3,-10,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20236,ses-1,-6,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20238,ses-1,-6,-6,1,1,1,0,0,1,1,1,1,1,1,0,0.75,artifact
sub-20238,ses-2,-10,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20252,ses-1,-24,-28,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20252,ses-2,-16,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20253,ses-1,-10,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
sub-20253,ses-2,-4,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20253,ses-3,-10,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20258,ses-1,-6,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20258,ses-2,-8,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20259,ses-1,-40,-18,1,1,1,1,1,0,0,0,0,1,0,1,0.5,artifact
sub-20259,ses-2,-4,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20259,ses-3,-14,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20302,ses-1,-14,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20302,ses-2,-36,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20303,ses-2,-10,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20303,ses-3,-10,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20305,ses-1,-4,2,0,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20305,ses-2,-8,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20310,ses-1,-16,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20310,ses-2,-18,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20310,ses-3,-12,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20328,ses-1,-18,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
sub-20328,ses-2,-22,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20333,ses-1,-10,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20335,ses-1,-30,-14,1,0,1,0,0,1,1,1,1,0,1,1,0.75,artifact
sub-20336,ses-1,-30,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20347,ses-1,-16,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
sub-20350,ses-1,-6,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20352,ses-1,-10,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20352,ses-2,-4,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20399,ses-1,-14,-24,0,0,1,0,0,0,1,1,0,0,1,0,0.25,artifact
sub-20399,ses-2,-6,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20402,ses-1,-16,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20403,ses-1,-16,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20410,ses-1,0,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20427,ses-1,-10,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20427,ses-2,-12,-18,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20448,ses-1,-8,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20463,ses-1,2,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20463,ses-2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20494,ses-1,-8,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20494,ses-2,-10,-16,1,1,1,0,0,1,1,1,1,1,1,0,0.75,artifact
sub-20494,ses-3,-4,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20533,ses-1,-14,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20533,ses-2,-8,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20572,ses-1,-10,-8,1,0,0,1,1,1,0,0,1,0,0,1,0.5,artifact
sub-20572,ses-2,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20612,ses-1,-12,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20626,ses-1,-6,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20626,ses-2,0,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20691,ses-1,-16,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20691,ses-2,0,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
