participant_id,session_id,euler_LH,euler_RH,rater_1_slice_1,rater_1_slice_2,rater_1_slice_3,rater_1_slice_4,rater_2_slice_1,rater_2_slice_2,rater_2_slice_3,rater_2_slice_4,final_rating_slice_1,final_rating_slice_2,final_rating_slice_3,final_rating_slice_4,across_slices_final_average,qc_determination
sub-20712,ses-1,-6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20712,ses-2,0,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20712,ses-3,-8,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20721,ses-1,-10,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20721,ses-2,-2,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20721,ses-3,0,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20724,ses-1,-10,-18,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20794,ses-1,-14,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20812,ses-2,-34,-24,1,1,1,1,1,0,0,0,0,0,0,1,0.25,artifact
sub-20812,ses-3,-24,-32,1,1,1,1,1,0,1,1,1,0,1,1,0.75,artifact
sub-20818,ses-1,-4,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20818,ses-2,-2,-20,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20823,ses-1,-2,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20823,ses-2,-8,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20836,ses-1,-2,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20836,ses-2,-16,-12,1,0,1,0,0,1,1,1,1,1,1,0,0.75,artifact
sub-20842,ses-1,-12,-18,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20846,ses-1,-16,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20849,ses-1,-22,-16,1,0,0,1,1,0,0,0,1,0,0,1,0.5,artifact
sub-20855,ses-1,-2,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20860,ses-1,-14,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20865,ses-1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20865,ses-2,-4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20866,ses-1,-2,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20866,ses-2,-8,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20902,ses-1,-6,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20902,ses-2,-18,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20902,ses-3,-4,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20916,ses-1,-14,-12,0,0,1,0,0,1,1,1,0,1,1,1,0.75,artifact
sub-20916,ses-2,-6,-22,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20916,ses-3,-16,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20918,ses-1,-8,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20919,ses-1,-2,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20923,ses-1,-18,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20923,ses-2,-22,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20934,ses-1,-14,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20936,ses-1,-58,-64,0,0,1,1,1,0,0,0,0,0,1,0,0.25,artifact
sub-20936,ses-2,-6,-6,0,0,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20936,ses-3,-2,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20953,ses-1,-8,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20953,ses-2,-10,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20961,ses-1,-26,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20961,ses-2,-36,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20964,ses-1,-24,-22,0,1,1,0,0,1,1,1,0,1,1,0,0.5,artifact
sub-20966,ses-1,-6,-2,1,1,1,0,0,1,1,1,1,1,1,1,1,pass
sub-20966,ses-2,-4,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20966,ses-3,-10,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20968,ses-1,-26,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20968,ses-2,-10,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20968,ses-3,-8,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20976,ses-1,-14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20976,ses-2,-6,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20976,ses-3,-14,-18,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20983,ses-1,-6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-20983,ses-2,-2,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21023,ses-1,-10,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21023,ses-2,-6,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21035,ses-1,-14,-18,1,0,1,1,1,0,1,1,1,0,1,1,0.75,artifact
sub-21035,ses-2,-14,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21035,ses-3,-8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21038,ses-1,-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21038,ses-2,-4,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21050,ses-1,-14,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21088,ses-1,-12,-20,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21095,ses-1,-6,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21104,ses-1,2,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21104,ses-2,-8,-2,1,0,1,1,1,0,1,1,1,0,1,1,0.75,artifact
sub-21112,ses-1,-6,-2,1,1,1,1,1,1,0,0,1,1,1,1,1,pass
sub-21112,ses-2,-4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21116,ses-1,-10,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21118,ses-1,-18,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21118,ses-2,-6,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21124,ses-1,-8,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21131,ses-1,-12,-2,1,1,1,1,1,0,1,1,1,1,1,1,1,pass
sub-21139,ses-1,-16,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21139,ses-2,-12,-18,1,1,1,1,1,0,0,0,0,1,1,0,0.5,artifact
sub-21141,ses-1,-6,-14,1,0,0,1,1,0,1,1,0,0,1,1,0.5,artifact
sub-21141,ses-2,-8,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21146,ses-1,-20,-18,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21150,ses-1,-8,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21154,ses-1,-12,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21154,ses-2,-8,-2,1,1,1,1,1,1,0,0,1,1,1,0,0.75,artifact
sub-21161,ses-1,-6,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21161,ses-2,-4,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21161,ses-3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21193,ses-1,-10,-16,1,0,1,0,0,0,1,1,1,0,1,0,0.5,artifact
sub-21193,ses-2,-20,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21197,ses-1,-4,-4,1,1,1,1,1,0,1,1,1,1,1,1,1,pass
sub-21224,ses-1,-14,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21325,ses-1,-4,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21325,ses-2,-4,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21345,ses-1,0,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21432,ses-1,-14,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21493,ses-1,-8,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21493,ses-2,-16,-22,1,1,1,1,1,0,0,0,0,0,0,0,0,fail
sub-21514,ses-1,-16,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21516,ses-1,-14,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21516,ses-2,-10,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,fail
sub-21539,ses-1,-12,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21553,ses-1,-8,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21553,ses-2,2,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21554,ses-1,-18,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21554,ses-2,-18,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21560,ses-1,-24,-10,1,1,1,1,1,0,1,1,1,1,1,1,1,pass
sub-21560,ses-2,-18,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21567,ses-1,-20,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21580,ses-1,-4,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21580,ses-2,-6,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21623,ses-1,-2,-6,1,1,1,1,1,0,1,1,1,1,1,1,1,pass
sub-21623,ses-2,-12,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21712,ses-1,-16,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21712,ses-2,-14,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21713,ses-1,-16,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21713,ses-2,-22,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21738,ses-1,-8,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21797,ses-1,-10,-24,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21827,ses-1,-4,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21855,ses-1,-24,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21855,ses-2,-6,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-21856,ses-1,-2,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22045,ses-1,-34,-26,1,1,1,1,1,0,1,1,1,1,1,0,0.75,artifact
sub-22045,ses-2,-12,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22064,ses-1,-14,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22064,ses-2,-16,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22169,ses-1,-8,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22473,ses-1,-6,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22473,ses-2,-8,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22510,ses-1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22510,ses-2,-8,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22520,ses-1,-4,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22617,ses-1,-6,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22617,ses-2,-10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22618,ses-1,-6,0,1,0,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22618,ses-2,-4,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22653,ses-1,-14,-8,1,0,1,1,1,0,1,1,1,0,1,1,0.75,artifact
sub-22653,ses-2,-14,-18,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22654,ses-1,-8,-24,1,1,1,0,0,1,1,1,1,1,1,0,0.75,artifact
sub-22654,ses-2,-6,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22670,ses-1,-4,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22744,ses-1,-12,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22745,ses-1,-12,-20,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22797,ses-1,-8,-2,0,0,1,1,1,1,1,1,1,1,1,1,1,pass
sub-22798,ses-1,-32,-18,1,1,1,1,1,0,1,1,1,1,1,1,1,pass
sub-22870,ses-1,-14,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-23113,ses-1,-14,-20,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-23303,ses-1,-2,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-23582,ses-1,-12,-22,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-23676,ses-1,-10,-6,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
sub-23698,ses-1,0,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,pass
