parcel	value	map
Parcel_001	-0.8460612	PNC
Parcel_002	-10.583607	PNC
Parcel_003	2.0751615	PNC
Parcel_004	-13.997338	PNC
Parcel_005	-13.314639	PNC
Parcel_006	0.73431295	PNC
Parcel_007	-10.970014	PNC
Parcel_008	0.57448107	PNC
Parcel_009	-9.024057	PNC
Parcel_010	-11.820294	PNC
Parcel_011	-13.426565	PNC
Parcel_012	1.489118	PNC
Parcel_013	-11.2270155	PNC
Parcel_014	-0.92732066	PNC
Parcel_015	-11.647134	PNC
Parcel_016	-12.301203	PNC
Parcel_017	-11.508517	PNC
Parcel_018	-14.420303	PNC
Parcel_019	-5.147532	PNC
Parcel_020	-19.771807	PNC
Parcel_021	-5.6929774	PNC
Parcel_022	-5.087033	PNC
Parcel_023	-9.617735	PNC
Parcel_024	-16.659357	PNC
Parcel_025	-12.355235	PNC
Parcel_026	-15.268532	PNC
Parcel_027	-7.0482073	PNC
Parcel_028	6.325792	PNC
Parcel_029	-14.327126	PNC
Parcel_030	-9.007286	PNC
Parcel_031	11.141457	PNC
Parcel_032	-16.353462	PNC
Parcel_033	-14.969952	PNC
Parcel_034	-16.759727	PNC
Parcel_035	-16.249495	PNC
Parcel_036	-16.944702	PNC
Parcel_037	-14.9642725	PNC
Parcel_038	-15.7497015	PNC
Parcel_039	-20.34144	PNC
Parcel_040	-17.911026	PNC
Parcel_041	-21.014479	PNC
Parcel_042	-20.46455	PNC
Parcel_043	-11.60126	PNC
Parcel_044	-11.974665	PNC
Parcel_045	-11.04414	PNC
Parcel_046	-12.837377	PNC
Parcel_047	-6.6098123	PNC
Parcel_048	-13.769952	PNC
Parcel_049	-20.179039	PNC
Parcel_050	-15.372842	PNC
Parcel_051	-12.5609045	PNC
Parcel_052	-9.005859	PNC
Parcel_053	-10.928665	PNC
Parcel_054	-17.438757	PNC
Parcel_055	-12.944235	PNC
Parcel_056	-8.951383	PNC
Parcel_057	-10.097655	PNC
Parcel_058	-14.921423	PNC
Parcel_059	-10.108815	PNC
Parcel_060	-13.042259	PNC
Parcel_061	2.1407344	PNC
Parcel_062	-12.492343	PNC
Parcel_063	-8.873298	PNC
Parcel_064	-4.38115	PNC
Parcel_065	-6.7563376	PNC
Parcel_066	-10.8566675	PNC
Parcel_067	-13.886384	PNC
Parcel_068	-6.148662	PNC
Parcel_069	-0.5917689	PNC
Parcel_070	8.383371	PNC
Parcel_071	-1.9151672	PNC
Parcel_072	-11.180926	PNC
Parcel_073	21.110405	PNC
Parcel_074	1.1227251	PNC
Parcel_075	25.111881	PNC
Parcel_076	0.111851476	PNC
Parcel_077	28.056602	PNC
Parcel_078	30.513626	PNC
Parcel_079	0.78792256	PNC
Parcel_080	15.779545	PNC
Parcel_081	17.226782	PNC
Parcel_082	8.0240965	PNC
Parcel_083	-5.0943885	PNC
Parcel_084	-15.961825	PNC
Parcel_085	-16.466215	PNC
Parcel_086	18.674278	PNC
Parcel_087	29.112894	PNC
Parcel_088	19.867294	PNC
Parcel_089	21.72468	PNC
Parcel_090	16.145594	PNC
Parcel_091	19.875103	PNC
Parcel_092	-22.504099	PNC
Parcel_093	-13.713741	PNC
Parcel_094	-17.783684	PNC
Parcel_095	-20.34741	PNC
Parcel_096	-2.6928332	PNC
Parcel_097	-10.297332	PNC
Parcel_098	-13.066762	PNC
Parcel_099	25.909412	PNC
Parcel_100	-17.830664	PNC
Parcel_101	20.191116	PNC
Parcel_102	-13.114273	PNC
Parcel_103	11.24544	PNC
Parcel_104	-18.274742	PNC
Parcel_105	5.8518667	PNC
Parcel_106	8.680423	PNC
Parcel_107	8.257062	PNC
Parcel_108	-16.568747	PNC
Parcel_109	-22.026533	PNC
Parcel_110	12.559802	PNC
Parcel_111	-17.845463	PNC
Parcel_112	-11.967099	PNC
Parcel_113	0.86030495	PNC
Parcel_114	-2.0568004	PNC
Parcel_115	-3.7616677	PNC
Parcel_116	-1.3500997	PNC
Parcel_117	-2.6761806	PNC
Parcel_118	1.7286961	PNC
Parcel_119	-5.5079393	PNC
Parcel_120	-5.5132766	PNC
Parcel_121	-1.8322766	PNC
Parcel_122	-3.6957026	PNC
Parcel_123	-3.320546	PNC
Parcel_124	-13.742467	PNC
Parcel_125	-9.439258	PNC
Parcel_126	-4.7998137	PNC
Parcel_127	27.919693	PNC
Parcel_128	0.471484	PNC
Parcel_129	17.280512	PNC
Parcel_130	34.114468	PNC
Parcel_131	35.26766	PNC
Parcel_132	26.646906	PNC
Parcel_133	7.161191	PNC
Parcel_134	6.647084	PNC
Parcel_135	14.986655	PNC
Parcel_136	12.189801	PNC
Parcel_137	23.373571	PNC
Parcel_138	20.878086	PNC
Parcel_139	18.042265	PNC
Parcel_140	23.186892	PNC
Parcel_141	26.94605	PNC
Parcel_142	20.245829	PNC
Parcel_143	6.2759676	PNC
Parcel_144	17.644043	PNC
Parcel_145	16.138138	PNC
Parcel_146	5.398532	PNC
Parcel_147	7.340459	PNC
Parcel_148	31.251165	PNC
Parcel_149	-13.414861	PNC
Parcel_150	-8.731538	PNC
Parcel_151	4.6478705	PNC
Parcel_152	-15.847121	PNC
Parcel_153	-12.117861	PNC
Parcel_154	5.0744424	PNC
Parcel_155	-2.1858823	PNC
Parcel_156	-12.051073	PNC
Parcel_157	-2.9075155	PNC
Parcel_158	-0.8621088	PNC
Parcel_159	-1.9796015	PNC
Parcel_160	-7.129934	PNC
Parcel_161	-5.339831	PNC
Parcel_162	-11.031551	PNC
Parcel_163	0.6542246	PNC
Parcel_164	9.412133	PNC
Parcel_165	20.014484	PNC
Parcel_166	-4.5915136	PNC
Parcel_167	-9.895914	PNC
Parcel_168	-23.823923	PNC
Parcel_169	-18.455173	PNC
Parcel_170	-6.18459	PNC
Parcel_171	21.703665	PNC
Parcel_172	1.5239849	PNC
Parcel_173	-21.830551	PNC
Parcel_174	-10.539332	PNC
Parcel_175	9.840359	PNC
Parcel_176	-1.5638534	PNC
Parcel_177	9.043696	PNC
Parcel_178	-4.192607	PNC
Parcel_179	-11.927091	PNC
Parcel_180	3.0996468	PNC
Parcel_181	2.6383889	PNC
Parcel_182	18.360203	PNC
Parcel_183	-5.5655847	PNC
Parcel_184	-5.4132614	PNC
Parcel_185	24.733673	PNC
Parcel_186	16.7265	PNC
Parcel_187	9.323942	PNC
Parcel_188	8.09115	PNC
Parcel_189	20.999607	PNC
Parcel_190	-25.374405	PNC
Parcel_191	-25.905941	PNC
Parcel_192	-28.043053	PNC
Parcel_193	-2.884356	PNC
Parcel_194	-7.671574	PNC
Parcel_195	-17.783714	PNC
Parcel_196	-21.331171	PNC
Parcel_197	-9.728385	PNC
Parcel_198	-15.877268	PNC
Parcel_199	19.714096	PNC
Parcel_200	-3.3719716	PNC
Parcel_201	-2.47312	PNC
Parcel_202	-9.976091	PNC
Parcel_203	-4.454405	PNC
Parcel_204	-8.209381	PNC
Parcel_205	-15.349989	PNC
Parcel_206	-14.3639765	PNC
Parcel_207	-9.516114	PNC
Parcel_208	-5.0613704	PNC
Parcel_209	-4.6880813	PNC
Parcel_210	-4.0887537	PNC
Parcel_211	-10.335199	PNC
Parcel_212	-11.451824	PNC
Parcel_213	0.34964913	PNC
Parcel_214	-9.854631	PNC
Parcel_215	-11.219495	PNC
Parcel_216	-13.271537	PNC
Parcel_217	-14.395838	PNC
Parcel_218	-8.501097	PNC
Parcel_219	-6.1893916	PNC
Parcel_220	-5.7749257	PNC
Parcel_221	-10.56801	PNC
Parcel_222	-15.111432	PNC
Parcel_223	-22.298813	PNC
Parcel_224	-12.268589	PNC
Parcel_225	-13.189969	PNC
Parcel_226	-18.262522	PNC
Parcel_227	-3.0342987	PNC
Parcel_228	-7.386213	PNC
Parcel_229	-14.963268	PNC
Parcel_230	7.969784	PNC
Parcel_231	-13.61908	PNC
Parcel_232	-7.094044	PNC
Parcel_233	-14.7526	PNC
Parcel_234	-17.301817	PNC
Parcel_235	-13.967936	PNC
Parcel_236	-15.778651	PNC
Parcel_237	-15.238178	PNC
Parcel_238	-8.60721	PNC
Parcel_239	-18.07882	PNC
Parcel_240	-16.314573	PNC
Parcel_241	-19.414278	PNC
Parcel_242	-19.461277	PNC
Parcel_243	-20.478514	PNC
Parcel_244	-18.348999	PNC
Parcel_245	-4.388689	PNC
Parcel_246	-11.973448	PNC
Parcel_247	-12.3731165	PNC
Parcel_248	-11.634016	PNC
Parcel_249	-12.573968	PNC
Parcel_250	-18.57646	PNC
Parcel_251	-15.68774	PNC
Parcel_252	-14.76704	PNC
Parcel_253	-6.0233335	PNC
Parcel_254	-15.719306	PNC
Parcel_255	-11.447508	PNC
Parcel_256	-9.839957	PNC
Parcel_257	-12.009278	PNC
Parcel_258	-12.074646	PNC
Parcel_259	-9.073717	PNC
Parcel_260	-10.9023485	PNC
Parcel_261	-0.8101283	PNC
