parcel	value	map
Parcel_262	-11.306236	PNC
Parcel_263	-11.686358	PNC
Parcel_264	-11.934727	PNC
Parcel_265	-14.002638	PNC
Parcel_266	-4.8436923	PNC
Parcel_267	-11.134472	PNC
Parcel_268	-3.022918	PNC
Parcel_269	-5.7742696	PNC
Parcel_270	-6.174401	PNC
Parcel_271	0.9235005	PNC
Parcel_272	-1.3596505	PNC
Parcel_273	-6.2874885	PNC
Parcel_274	4.758473	PNC
Parcel_275	21.946268	PNC
Parcel_276	-1.5621331	PNC
Parcel_277	16.71925	PNC
Parcel_278	32.02696	PNC
Parcel_279	6.103783	PNC
Parcel_280	23.963451	PNC
Parcel_281	32.224064	PNC
Parcel_282	19.671553	PNC
Parcel_283	11.822064	PNC
Parcel_284	24.586855	PNC
Parcel_285	26.774393	PNC
Parcel_286	1.3463919	PNC
Parcel_287	6.6427426	PNC
Parcel_288	12.20721	PNC
Parcel_289	-13.645665	PNC
Parcel_290	13.584347	PNC
Parcel_291	24.337784	PNC
Parcel_292	10.698292	PNC
Parcel_293	16.89521	PNC
Parcel_294	-2.942295	PNC
Parcel_295	-3.9126654	PNC
Parcel_296	-2.7093978	PNC
Parcel_297	-19.680601	PNC
Parcel_298	-23.160025	PNC
Parcel_299	-14.654096	PNC
Parcel_300	7.373334	PNC
Parcel_301	12.161386	PNC
Parcel_302	-13.783438	PNC
Parcel_303	-1.6657194	PNC
Parcel_304	-15.23676	PNC
Parcel_305	-10.072888	PNC
Parcel_306	22.420847	PNC
Parcel_307	-14.925329	PNC
Parcel_308	-12.500193	PNC
Parcel_309	9.373602	PNC
Parcel_310	16.642365	PNC
Parcel_311	10.697208	PNC
Parcel_312	-13.369904	PNC
Parcel_313	-14.26556	PNC
Parcel_314	21.414654	PNC
Parcel_315	-13.48021	PNC
Parcel_316	-19.48441	PNC
Parcel_317	-2.4694366	PNC
Parcel_318	12.190043	PNC
Parcel_319	-2.5169823	PNC
Parcel_320	-4.9521327	PNC
Parcel_321	-2.5825133	PNC
Parcel_322	8.115589	PNC
Parcel_323	-1.8295894	PNC
Parcel_324	-6.923741	PNC
Parcel_325	-3.2730992	PNC
Parcel_326	-4.5564218	PNC
Parcel_327	-11.091457	PNC
Parcel_328	-2.8652368	PNC
Parcel_329	-10.118743	PNC
Parcel_330	-1.1317152	PNC
Parcel_331	-2.7615876	PNC
Parcel_332	23.586832	PNC
Parcel_333	30.090872	PNC
Parcel_334	29.00822	PNC
Parcel_335	28.382088	PNC
Parcel_336	34.57305	PNC
Parcel_337	32.33022	PNC
Parcel_338	7.390811	PNC
Parcel_339	11.609833	PNC
Parcel_340	17.357023	PNC
Parcel_341	12.643695	PNC
Parcel_342	16.461082	PNC
Parcel_343	18.979836	PNC
Parcel_344	3.650179	PNC
Parcel_345	20.59451	PNC
Parcel_346	15.608486	PNC
Parcel_347	16.33039	PNC
Parcel_348	10.334449	PNC
Parcel_349	23.772875	PNC
Parcel_350	21.557436	PNC
Parcel_351	23.69381	PNC
Parcel_352	21.764685	PNC
Parcel_353	20.803736	PNC
Parcel_354	25.707294	PNC
Parcel_355	28.736383	PNC
Parcel_356	8.259046	PNC
Parcel_357	18.74195	PNC
Parcel_358	9.735766	PNC
Parcel_359	8.244615	PNC
Parcel_360	18.673422	PNC
Parcel_361	29.79922	PNC
Parcel_362	-0.33887032	PNC
Parcel_363	-8.424368	PNC
Parcel_364	1.6292431	PNC
Parcel_365	10.314952	PNC
Parcel_366	11.524775	PNC
Parcel_367	-13.748705	PNC
Parcel_368	-7.414132	PNC
Parcel_369	-10.030866	PNC
Parcel_370	-13.82766	PNC
Parcel_371	5.859516	PNC
Parcel_372	-2.7560487	PNC
Parcel_373	1.45932	PNC
Parcel_374	-2.7016723	PNC
Parcel_375	-6.218951	PNC
Parcel_376	-0.43678898	PNC
Parcel_377	-1.0519727	PNC
Parcel_378	8.034774	PNC
Parcel_379	-17.264154	PNC
Parcel_380	-11.219668	PNC
Parcel_381	-10.105714	PNC
Parcel_382	-8.745666	PNC
Parcel_383	-4.01584	PNC
Parcel_384	-0.36754096	PNC
Parcel_385	-9.907312	PNC
Parcel_386	-5.8519444	PNC
Parcel_387	16.064898	PNC
Parcel_388	8.882576	PNC
Parcel_389	-1.2176961	PNC
Parcel_390	16.423874	PNC
Parcel_391	12.162585	PNC
Parcel_392	-20.890213	PNC
Parcel_393	-8.078489	PNC
Parcel_394	-10.741625	PNC
Parcel_395	-22.07305	PNC
Parcel_396	-3.6385164	PNC
Parcel_397	-6.801149	PNC
Parcel_398	-10.0966835	PNC
Parcel_399	-8.880552	PNC
Parcel_400	1.007865	PNC
