parcel	value	map	abs_value
Parcel_096	-3.7706048	EF	3.7706048
Parcel_078	3.7695253	EF	3.7695253
Parcel_367	-3.7694046	EF	3.7694046
Parcel_043	-3.7621052	EF	3.7621052
Parcel_058	-3.747022	EF	3.747022
Parcel_014	-3.7469256	EF	3.7469256
Parcel_256	-3.7418714	EF	3.7418714
Parcel_354	3.7267373	EF	3.7267373
Parcel_237	-3.7161944	EF	3.7161944
Parcel_373	-3.6997817	EF	3.6997817
Parcel_216	-3.6844838	EF	3.6844838
Parcel_294	-3.6829002	EF	3.6829002
Parcel_349	3.676082	EF	3.676082
Parcel_099	3.6747456	EF	3.6747456
Parcel_351	3.6259265	EF	3.6259265
Parcel_284	3.6223423	EF	3.6223423
Parcel_155	-3.592822	EF	3.592822
Parcel_255	-3.5909767	EF	3.5909767
Parcel_170	-3.584529	EF	3.584529
Parcel_224	-3.5669825	EF	3.5669825
Parcel_381	-3.5620785	EF	3.5620785
Parcel_306	3.5566726	EF	3.5566726
Parcel_263	-3.5528474	EF	3.5528474
Parcel_127	3.5308757	EF	3.5308757
Parcel_037	-3.517234	EF	3.517234
Parcel_016	-3.470446	EF	3.470446
Parcel_337	3.4629965	EF	3.4629965
Parcel_232	-3.4553483	EF	3.4553483
Parcel_296	-3.4515944	EF	3.4515944
Parcel_033	-3.4442036	EF	3.4442036
Parcel_138	3.4429235	EF	3.4429235
Parcel_273	-3.4400492	EF	3.4400492
Parcel_159	-3.4379213	EF	3.4379213
Parcel_211	-3.4239805	EF	3.4239805
Parcel_056	-3.423923	EF	3.423923
Parcel_153	-3.4111564	EF	3.4111564
Parcel_124	-3.4111195	EF	3.4111195
Parcel_157	-3.3992586	EF	3.3992586
Parcel_222	-3.3890579	EF	3.3890579
Parcel_305	-3.3812923	EF	3.3812923
Parcel_295	-3.370246	EF	3.370246
Parcel_011	-3.3506227	EF	3.3506227
Parcel_247	-3.3407903	EF	3.3407903
Parcel_386	-3.326119	EF	3.326119
Parcel_112	-3.319261	EF	3.319261
Parcel_257	-3.3118737	EF	3.3118737
Parcel_259	-3.3060944	EF	3.3060944
Parcel_013	-3.3032775	EF	3.3032775
Parcel_375	-3.2871823	EF	3.2871823
Parcel_184	-3.281743	EF	3.281743
Parcel_007	-3.2782152	EF	3.2782152
Parcel_030	-3.2730734	EF	3.2730734
Parcel_147	-3.272708	EF	3.272708
Parcel_075	3.2580075	EF	3.2580075
Parcel_091	3.2491183	EF	3.2491183
Parcel_280	3.2403681	EF	3.2403681
Parcel_314	3.2369928	EF	3.2369928
Parcel_084	-3.2321472	EF	3.2321472
Parcel_372	-3.2306974	EF	3.2306974
Parcel_231	-3.2287169	EF	3.2287169
Parcel_183	-3.2199821	EF	3.2199821
Parcel_219	-3.219446	EF	3.219446
Parcel_369	-3.2112062	EF	3.2112062
Parcel_005	-3.208637	EF	3.208637
Parcel_308	-3.204357	EF	3.204357
Parcel_161	-3.185376	EF	3.185376
Parcel_315	-3.164543	EF	3.164543
Parcel_171	3.1640906	EF	3.1640906
Parcel_363	-3.1558397	EF	3.1558397
Parcel_345	3.1535509	EF	3.1535509
Parcel_063	-3.152961	EF	3.152961
Parcel_262	-3.128297	EF	3.128297
Parcel_228	-3.116335	EF	3.116335
Parcel_163	-3.085663	EF	3.085663
