parcel	value	map	abs_value
Parcel_067	-13.886384	PNC	13.886384
Parcel_370	-13.82766	PNC	13.82766
Parcel_302	-13.783438	PNC	13.783438
Parcel_048	-13.769952	PNC	13.769952
Parcel_367	-13.748705	PNC	13.748705
Parcel_124	-13.742467	PNC	13.742467
Parcel_093	-13.713741	PNC	13.713741
Parcel_289	-13.645665	PNC	13.645665
Parcel_231	-13.61908	PNC	13.61908
Parcel_290	13.584347	PNC	13.584347
Parcel_315	-13.48021	PNC	13.48021
Parcel_011	-13.426565	PNC	13.426565
Parcel_149	-13.414861	PNC	13.414861
Parcel_312	-13.369904	PNC	13.369904
Parcel_005	-13.314639	PNC	13.314639
Parcel_216	-13.271537	PNC	13.271537
Parcel_225	-13.189969	PNC	13.189969
Parcel_102	-13.114273	PNC	13.114273
Parcel_098	-13.066762	PNC	13.066762
Parcel_060	-13.042259	PNC	13.042259
Parcel_055	-12.944235	PNC	12.944235
Parcel_046	-12.837377	PNC	12.837377
Parcel_341	12.643695	PNC	12.643695
Parcel_249	-12.573968	PNC	12.573968
Parcel_051	-12.5609045	PNC	12.5609045
Parcel_110	12.559802	PNC	12.559802
Parcel_308	-12.500193	PNC	12.500193
Parcel_062	-12.492343	PNC	12.492343
Parcel_247	-12.3731165	PNC	12.3731165
Parcel_025	-12.355235	PNC	12.355235
Parcel_016	-12.301203	PNC	12.301203
Parcel_224	-12.268589	PNC	12.268589
Parcel_288	12.20721	PNC	12.20721
Parcel_318	12.190043	PNC	12.190043
Parcel_136	12.189801	PNC	12.189801
Parcel_391	12.162585	PNC	12.162585
Parcel_301	12.161386	PNC	12.161386
Parcel_153	-12.117861	PNC	12.117861
Parcel_258	-12.074646	PNC	12.074646
Parcel_156	-12.051073	PNC	12.051073
Parcel_257	-12.009278	PNC	12.009278
Parcel_044	-11.974665	PNC	11.974665
Parcel_246	-11.973448	PNC	11.973448
Parcel_112	-11.967099	PNC	11.967099
Parcel_264	-11.934727	PNC	11.934727
Parcel_179	-11.927091	PNC	11.927091
Parcel_283	11.822064	PNC	11.822064
Parcel_010	-11.820294	PNC	11.820294
Parcel_263	-11.686358	PNC	11.686358
Parcel_015	-11.647134	PNC	11.647134
Parcel_248	-11.634016	PNC	11.634016
Parcel_339	11.609833	PNC	11.609833
Parcel_043	-11.60126	PNC	11.60126
Parcel_366	11.524775	PNC	11.524775
Parcel_017	-11.508517	PNC	11.508517
Parcel_212	-11.451824	PNC	11.451824
Parcel_255	-11.447508	PNC	11.447508
Parcel_262	-11.306236	PNC	11.306236
Parcel_103	11.24544	PNC	11.24544
Parcel_013	-11.2270155	PNC	11.2270155
Parcel_380	-11.219668	PNC	11.219668
Parcel_215	-11.219495	PNC	11.219495
Parcel_072	-11.180926	PNC	11.180926
Parcel_031	11.141457	PNC	11.141457
Parcel_267	-11.134472	PNC	11.134472
Parcel_327	-11.091457	PNC	11.091457
Parcel_045	-11.04414	PNC	11.04414
Parcel_162	-11.031551	PNC	11.031551
Parcel_007	-10.970014	PNC	10.970014
Parcel_053	-10.928665	PNC	10.928665
Parcel_260	-10.9023485	PNC	10.9023485
Parcel_066	-10.8566675	PNC	10.8566675
Parcel_394	-10.741625	PNC	10.741625
Parcel_292	10.698292	PNC	10.698292
Parcel_311	10.697208	PNC	10.697208
Parcel_002	-10.583607	PNC	10.583607
Parcel_221	-10.56801	PNC	10.56801
Parcel_174	-10.539332	PNC	10.539332
Parcel_211	-10.335199	PNC	10.335199
Parcel_348	10.334449	PNC	10.334449
Parcel_365	10.314952	PNC	10.314952
Parcel_097	-10.297332	PNC	10.297332
Parcel_329	-10.118743	PNC	10.118743
Parcel_059	-10.108815	PNC	10.108815
Parcel_381	-10.105714	PNC	10.105714
Parcel_057	-10.097655	PNC	10.097655
Parcel_398	-10.0966835	PNC	10.0966835
Parcel_305	-10.072888	PNC	10.072888
Parcel_369	-10.030866	PNC	10.030866
Parcel_202	-9.976091	PNC	9.976091
Parcel_385	-9.907312	PNC	9.907312
Parcel_167	-9.895914	PNC	9.895914
Parcel_214	-9.854631	PNC	9.854631
Parcel_175	9.840359	PNC	9.840359
Parcel_256	-9.839957	PNC	9.839957
Parcel_358	9.735766	PNC	9.735766
Parcel_197	-9.728385	PNC	9.728385
Parcel_023	-9.617735	PNC	9.617735
Parcel_207	-9.516114	PNC	9.516114
Parcel_125	-9.439258	PNC	9.439258
Parcel_164	9.412133	PNC	9.412133
Parcel_309	9.373602	PNC	9.373602
Parcel_187	9.323942	PNC	9.323942
Parcel_259	-9.073717	PNC	9.073717
Parcel_177	9.043696	PNC	9.043696
Parcel_009	-9.024057	PNC	9.024057
Parcel_030	-9.007286	PNC	9.007286
Parcel_052	-9.005859	PNC	9.005859
Parcel_056	-8.951383	PNC	8.951383
Parcel_388	8.882576	PNC	8.882576
Parcel_399	-8.880552	PNC	8.880552
Parcel_063	-8.873298	PNC	8.873298
Parcel_382	-8.745666	PNC	8.745666
Parcel_150	-8.731538	PNC	8.731538
Parcel_106	8.680423	PNC	8.680423
Parcel_238	-8.60721	PNC	8.60721
Parcel_218	-8.501097	PNC	8.501097
Parcel_363	-8.424368	PNC	8.424368
Parcel_070	8.383371	PNC	8.383371
Parcel_356	8.259046	PNC	8.259046
Parcel_107	8.257062	PNC	8.257062
Parcel_359	8.244615	PNC	8.244615
Parcel_204	-8.209381	PNC	8.209381
Parcel_322	8.115589	PNC	8.115589
Parcel_188	8.09115	PNC	8.09115
Parcel_393	-8.078489	PNC	8.078489
Parcel_378	8.034774	PNC	8.034774
Parcel_082	8.0240965	PNC	8.0240965
Parcel_230	7.969784	PNC	7.969784
Parcel_194	-7.671574	PNC	7.671574
Parcel_368	-7.414132	PNC	7.414132
Parcel_338	7.390811	PNC	7.390811
Parcel_228	-7.386213	PNC	7.386213
Parcel_300	7.373334	PNC	7.373334
Parcel_147	7.340459	PNC	7.340459
Parcel_133	7.161191	PNC	7.161191
Parcel_160	-7.129934	PNC	7.129934
Parcel_232	-7.094044	PNC	7.094044
Parcel_027	-7.0482073	PNC	7.0482073
Parcel_324	-6.923741	PNC	6.923741
Parcel_397	-6.801149	PNC	6.801149
Parcel_065	-6.7563376	PNC	6.7563376
Parcel_134	6.647084	PNC	6.647084
Parcel_287	6.6427426	PNC	6.6427426
Parcel_047	-6.6098123	PNC	6.6098123
Parcel_028	6.325792	PNC	6.325792
Parcel_273	-6.2874885	PNC	6.2874885
Parcel_143	6.2759676	PNC	6.2759676
Parcel_375	-6.218951	PNC	6.218951
Parcel_219	-6.1893916	PNC	6.1893916
Parcel_170	-6.18459	PNC	6.18459
Parcel_270	-6.174401	PNC	6.174401
Parcel_068	-6.148662	PNC	6.148662
Parcel_279	6.103783	PNC	6.103783
Parcel_253	-6.0233335	PNC	6.0233335
Parcel_371	5.859516	PNC	5.859516
Parcel_386	-5.8519444	PNC	5.8519444
Parcel_105	5.8518667	PNC	5.8518667
Parcel_220	-5.7749257	PNC	5.7749257
Parcel_269	-5.7742696	PNC	5.7742696
Parcel_021	-5.6929774	PNC	5.6929774
Parcel_183	-5.5655847	PNC	5.5655847
Parcel_120	-5.5132766	PNC	5.5132766
Parcel_119	-5.5079393	PNC	5.5079393
Parcel_184	-5.4132614	PNC	5.4132614
Parcel_146	5.398532	PNC	5.398532
Parcel_161	-5.339831	PNC	5.339831
Parcel_019	-5.147532	PNC	5.147532
Parcel_083	-5.0943885	PNC	5.0943885
Parcel_022	-5.087033	PNC	5.087033
Parcel_154	5.0744424	PNC	5.0744424
Parcel_208	-5.0613704	PNC	5.0613704
Parcel_320	-4.9521327	PNC	4.9521327
Parcel_266	-4.8436923	PNC	4.8436923
Parcel_126	-4.7998137	PNC	4.7998137
Parcel_274	4.758473	PNC	4.758473
Parcel_209	-4.6880813	PNC	4.6880813
Parcel_151	4.6478705	PNC	4.6478705
Parcel_166	-4.5915136	PNC	4.5915136
Parcel_326	-4.5564218	PNC	4.5564218
Parcel_203	-4.454405	PNC	4.454405
Parcel_245	-4.388689	PNC	4.388689
Parcel_064	-4.38115	PNC	4.38115
Parcel_178	-4.192607	PNC	4.192607
Parcel_210	-4.0887537	PNC	4.0887537
Parcel_383	-4.01584	PNC	4.01584
Parcel_295	-3.9126654	PNC	3.9126654
Parcel_115	-3.7616677	PNC	3.7616677
Parcel_122	-3.6957026	PNC	3.6957026
Parcel_344	3.650179	PNC	3.650179
Parcel_396	-3.6385164	PNC	3.6385164
Parcel_200	-3.3719716	PNC	3.3719716
Parcel_123	-3.320546	PNC	3.320546
Parcel_325	-3.2730992	PNC	3.2730992
Parcel_180	3.0996468	PNC	3.0996468
Parcel_227	-3.0342987	PNC	3.0342987
Parcel_268	-3.022918	PNC	3.022918
Parcel_294	-2.942295	PNC	2.942295
Parcel_157	-2.9075155	PNC	2.9075155
Parcel_193	-2.884356	PNC	2.884356
Parcel_328	-2.8652368	PNC	2.8652368
Parcel_331	-2.7615876	PNC	2.7615876
Parcel_372	-2.7560487	PNC	2.7560487
Parcel_296	-2.7093978	PNC	2.7093978
Parcel_374	-2.7016723	PNC	2.7016723
Parcel_096	-2.6928332	PNC	2.6928332
Parcel_117	-2.6761806	PNC	2.6761806
Parcel_181	2.6383889	PNC	2.6383889
Parcel_321	-2.5825133	PNC	2.5825133
Parcel_319	-2.5169823	PNC	2.5169823
Parcel_201	-2.47312	PNC	2.47312
Parcel_317	-2.4694366	PNC	2.4694366
Parcel_155	-2.1858823	PNC	2.1858823
Parcel_061	2.1407344	PNC	2.1407344
Parcel_003	2.0751615	PNC	2.0751615
Parcel_114	-2.0568004	PNC	2.0568004
Parcel_159	-1.9796015	PNC	1.9796015
