excluded_scans
sub-20212_ses-1_task-nback_run-02
sub-20212_ses-1_task-rest_run-01
sub-20252_ses-1_task-nback_run-01
sub-20252_ses-1_task-rest_run-01
sub-20252_ses-1_task-rest_run-02
sub-20252_ses-2_task-rest_run-01
sub-20252_ses-2_task-rest_run-02
sub-20253_ses-1_task-rest_run-02
sub-20253_ses-2_task-nback_run-01
sub-20259_ses-1_task-nback_run-01
sub-20310_ses-1_task-nback_run-01
sub-20310_ses-1_task-rest_run-02
sub-20310_ses-2_task-nback_run-01
sub-20310_ses-2_task-rest_run-01
sub-20310_ses-2_task-rest_run-02
sub-20328_ses-2_task-nback_run-01
sub-20328_ses-2_task-rest_run-01
sub-20328_ses-2_task-rest_run-02
sub-20333_ses-1_task-nback_run-01
sub-20333_ses-1_task-rest_run-01
sub-20333_ses-1_task-rest_run-02
sub-20336_ses-1_task-nback_run-01
sub-20336_ses-1_task-rest_run-01
sub-20399_ses-1_task-nback_run-01
sub-20403_ses-1_task-nback_run-01
sub-20410_ses-1_task-rest_run-02
sub-20448_ses-1_task-nback_run-01
sub-20448_ses-1_task-rest_run-01
sub-20463_ses-2_task-nback_run-01
sub-20463_ses-2_task-rest_run-02
sub-20494_ses-1_task-rest_run-01
sub-20494_ses-2_task-nback_run-01
sub-20494_ses-2_task-rest_run-01
sub-20494_ses-3_task-nback_run-01
sub-20494_ses-3_task-rest_run-01
sub-20494_ses-3_task-rest_run-02
sub-20533_ses-1_task-nback_run-01
sub-20572_ses-1_task-nback_acq-VARIANTObliquity_run-01
sub-20572_ses-1_task-rest_acq-VARIANTObliquity_run-01
sub-20572_ses-1_task-rest_acq-VARIANTObliquity_run-02
sub-20572_ses-2_task-nback_run-01
sub-20572_ses-2_task-rest_run-01
sub-20572_ses-2_task-rest_run-02
sub-20612_ses-1_task-nback_run-01
sub-20612_ses-1_task-rest_run-01
sub-20612_ses-1_task-rest_run-02
sub-20691_ses-1_task-nback_run-01
sub-20691_ses-1_task-rest_run-02
sub-20691_ses-2_task-nback_run-01
sub-20691_ses-2_task-rest_run-01
sub-20691_ses-2_task-rest_run-02
sub-20724_ses-1_task-nback_run-01
sub-20724_ses-1_task-rest_run-01
sub-20724_ses-1_task-rest_run-02
sub-20794_ses-1_task-rest_run-01
sub-20812_ses-2_task-nback_run-01
sub-20812_ses-2_task-rest_run-01
sub-20812_ses-2_task-rest_run-02
sub-20812_ses-3_task-nback_acq-VARIANTObliquity_run-01
sub-20812_ses-3_task-rest_acq-VARIANTObliquity_run-01
sub-20812_ses-3_task-rest_acq-VARIANTObliquity_run-02
sub-20818_ses-1_task-nback_run-01
