subject,session,total_volume_mm3_Association_ArcuateFasciculusR,total_volume_mm3_Association_ArcuateFasciculusL,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusL,total_volume_mm3_Association_UncinateFasciculusL,total_volume_mm3_Association_InferiorLongitudinalFasciculusR,total_volume_mm3_Association_SuperiorLongitudinalFasciculusR,total_volume_mm3_Association_MiddleLongitudinalFasciculusL,total_volume_mm3_Association_UncinateFasciculusR,total_volume_mm3_Association_VerticalOccipitalFasciculusR,total_volume_mm3_Association_InferiorLongitudinalFasciculusL,total_volume_mm3_Association_ExtremeCapsuleR,total_volume_mm3_Association_SuperiorLongitudinalFasciculusL,total_volume_mm3_Association_HippocampusAlveusL,total_volume_mm3_Association_CingulumL,total_volume_mm3_Association_ParietalAslantTractL,total_volume_mm3_Association_InferiorFrontoOccipitalFasciculusR,total_volume_mm3_Association_FrontalAslantTractR,total_volume_mm3_Association_VerticalOccipitalFasciculusL,total_volume_mm3_Association_FrontalAslantTractL,total_volume_mm3_Association_ParietalAslantTractR,total_volume_mm3_Association_ExtremeCapsuleL,total_volume_mm3_Association_CingulumR,total_volume_mm3_Association_HippocampusAlveusR,total_volume_mm3_Association_MiddleLongitudinalFasciculusR,total_volume_mm3_ProjectionBrainstem_CorticopontineTractL,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractR,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationL,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationL,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractL,total_volume_mm3_ProjectionBrainstem_MedialLemniscusL,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-rl,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationL,total_volume_mm3_ProjectionBrainstem_ReticularTractR,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaR,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleR,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisR,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisL,total_volume_mm3_ProjectionBrainstem_CorticospinalTractR,total_volume_mm3_ProjectionBasalGanglia_AnsaLenticularisL,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusR,total_volume_mm3_ProjectionBrainstem_NonDecussatingDentatorubrothalamicTractL,total_volume_mm3_ProjectionBasalGanglia_OpticRadiationR,total_volume_mm3_ProjectionBrainstem_CorticopontineTractR,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractR,total_volume_mm3_ProjectionBasalGanglia_AnsaSubthalamicaL,total_volume_mm3_ProjectionBrainstem_CorticobulbarTractL,total_volume_mm3_ProjectionBasalGanglia_FasciculusSubthalamicusL,total_volume_mm3_ProjectionBasalGanglia_FasciculusLenticularisR,total_volume_mm3_ProjectionBasalGanglia_FornixL,total_volume_mm3_ProjectionBasalGanglia_AcousticRadiationR,total_volume_mm3_ProjectionBrainstem_MedialLemniscusR,total_volume_mm3_ProjectionBasalGanglia_FornixR,total_volume_mm3_ProjectionBrainstem_DentatorubrothalamicTract-lr,total_volume_mm3_ProjectionBrainstem_MedialForebrainBundleL,total_volume_mm3_ProjectionBasalGanglia_ThalamicRadiationR,total_volume_mm3_ProjectionBasalGanglia_CorticostriatalTractR,total_volume_mm3_ProjectionBrainstem_CorticospinalTractL,total_volume_mm3_ProjectionBrainstem_ReticularTractL,total_volume_mm3_Commissure_CorpusCallosum,total_volume_mm3_Commissure_AnteriorCommissure,total_volume_mm3_Cerebellum_Vermis,total_volume_mm3_Cerebellum_CerebellumL,total_volume_mm3_Cerebellum_CerebellumR,total_volume_mm3_Cerebellum_MiddleCerebellarPeduncle,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleR,total_volume_mm3_Cerebellum_InferiorCerebellarPeduncleL,total_volume_mm3_Cerebellum_SuperiorCerebellarPeduncle,total_volume_mm3_CranialNerve_CNIIIL,total_volume_mm3_CranialNerve_CNVR,total_volume_mm3_CranialNerve_CNVIIR,total_volume_mm3_CranialNerve_CNVIIIL,total_volume_mm3_CranialNerve_CNIIR,total_volume_mm3_CranialNerve_CNIIIR,total_volume_mm3_CranialNerve_CNVIIIR,total_volume_mm3_CranialNerve_CNVL,total_volume_mm3_CranialNerve_CNIIL,total_volume_mm3_CranialNerve_CNVIIL,total_volume_all_bundles,mean_bundle_volume
sub-21568,ses-1,21813.7,29661.6,43440.1,13680.2,61641.0,39195.3,10068.0,18123.4,15441.6,61964.0,13103.0,40143.5,13037.9,34019.5,30125.9,28053.2,20610.0,15216.2,19757.0,35722.4,12655.3,38618.0,8778.3,12106.9,49165.6,11722.4,10999.6,51983.2,57331.6,7423.54,,4912.39,11206.6,2791.81,6841.35,6403.48,1517.5,12566.2,5079.43,2671.44,13126.9,7494.78,43465.9,3112.39,1486.18,2898.67,4031.73,2047.49,4192.63,4666.12,7916.07,5621.09,1948.0,6176.26,50894.4,61983.6,13161.9,14143.9,178906.0,2080.04,17018.6,43301.3,44419.7,46037.9,12410.2,10994.1,11344.1,1157.63,3686.59,1807.98,5914.64,3910.13,2668.37,6680.45,3657.73,4000.41,2597.13,1530553.15,20138.857236842105
sub-20823,ses-1,27387.5,24073.1,25956.0,19453.6,42354.4,36446.5,7131.83,16396.5,11163.0,37236.2,14118.7,33467.4,10660.6,37061.2,23947.2,27435.4,20054.9,12041.8,26209.0,23665.3,9807.58,32401.8,10358.4,18273.9,33273.9,14449.7,7682.09,42062.7,40322.8,7157.63,3979.53,5632.75,15111.8,1831.93,6673.7,4832.55,2259.98,6141.86,5945.34,2620.47,9025.18,6035.62,33241.4,,1664.28,1295.19,3857.32,1822.11,5021.7,4069.81,5216.38,5474.31,3520.16,4979.94,42698.9,38728.6,5326.31,5860.6,152069.0,1996.52,16416.8,27947.0,24892.3,30133.9,9359.27,7577.07,12035.0,711.771,3237.67,1026.2,6249.34,4374.41,2197.95,3179.94,3464.89,3197.75,1807.98,1236793.1109999998,16273.593565789472
sub-20823,ses-2,22763.2,27071.2,23909.1,16769.3,38957.6,41217.6,10577.1,16360.3,10364.6,41155.0,12073.7,38066.5,9762.75,33834.6,23388.3,27335.9,21961.1,10620.1,26659.2,20696.6,13717.7,33489.5,9835.21,16788.3,35785.1,6105.63,7214.74,34714.0,42400.4,6715.46,2431.32,5673.29,7492.33,1675.33,7169.91,5597.14,1411.26,2226.82,4974.41,2275.95,8994.47,5454.66,35211.5,,950.666,148.618,3709.32,1774.82,4341.86,3897.24,4890.28,4548.21,1328.35,5550.46,38278.4,44338.6,4172.37,4481.88,150751.0,1529.79,17272.9,25951.1,27900.9,33347.0,9727.13,7649.54,12140.0,1165.61,3908.91,1376.87,4990.99,3753.53,1897.65,3474.11,3647.9,2985.88,1621.9,1208401.9639999997,15900.025842105259
sub-20253,ses-1,23531.4,32193.7,29785.7,18445.2,43999.0,41015.6,11903.6,17299.9,13965.2,43661.2,12366.0,45774.4,9113.62,31281.7,24610.4,27617.8,30032.6,13595.5,22972.6,24488.8,11622.9,32283.3,8368.07,13399.0,28972.6,765.814,7287.21,39282.5,38886.4,6081.68,2142.07,5554.15,6676.77,2226.82,4830.09,5654.86,1640.94,5057.32,5527.12,3296.01,2020.47,9479.02,31681.5,,1868.17,,3488.23,2116.89,4640.33,4359.67,6921.19,4876.15,544.115,3089.66,34946.8,43168.7,4093.14,3682.91,131923.0,1981.17,24253.6,41800.4,38852.0,42725.3,16656.3,14167.2,11517.3,1123.85,4207.37,423.132,3561.93,3632.55,1835.01,3671.85,2732.24,4630.5,728.966,1258610.1570000001,16781.468760000003
sub-20253,ses-2,24624.0,33926.7,32758.7,16353.5,52195.7,41767.9,10639.1,19691.9,15825.4,47285.8,13625.6,52789.0,9111.77,31005.3,25508.3,28432.8,29599.6,16142.3,26618.0,26846.5,11179.5,33824.2,8191.2,16426.6,28942.5,11271.0,8711.98,41813.3,43989.8,4141.04,976.459,3830.3,4812.28,1971.96,6249.34,4786.49,1532.86,5710.75,5018.63,3716.68,2604.5,7666.74,36747.4,,1069.81,,3741.86,1650.15,3631.32,4067.35,3084.14,6372.78,2151.28,4599.8,40207.4,50330.6,6054.66,3256.7,137317.0,2277.18,23287.6,38024.2,38360.1,41971.8,15904.0,12331.6,13395.3,806.96,1814.74,225.998,3608.6,4326.51,1305.02,3011.67,2293.14,4890.28,676.766,1324909.6929999997,17665.46257333333
sub-20253,ses-3,23129.8,35144.5,29948.4,14350.3,49611.5,39490.7,12756.6,16125.1,13685.8,45140.6,10257.7,50042.6,8492.73,27072.5,23484.1,28087.0,30590.8,13625.6,23461.4,23708.3,12032.6,30025.2,7562.95,12449.5,25262.6,12408.4,6631.94,35864.9,34333.3,5135.31,2053.02,4188.95,10287.8,1107.27,5317.09,4604.1,1473.9,4540.84,4996.52,2901.74,1082.09,7287.82,32743.3,,1108.5,,3145.55,1402.66,3696.42,2489.66,4515.05,4985.47,7058.75,3814.33,37242.4,39057.1,4333.27,2737.16,136101.0,2006.96,22037.9,38002.1,34980.6,39060.2,14469.4,12946.4,11774.0,364.176,1796.93,503.583,3466.12,3602.46,1428.45,3181.78,2594.06,4327.74,287.41,1231014.7589999998,16413.53012
sub-20258,ses-1,25418.0,25841.2,23212.7,16415.6,41045.7,38053.0,5095.4,17700.9,7507.68,38952.1,4806.14,34055.7,8674.52,27512.8,20833.0,29221.9,19650.8,9704.4,19639.7,20191.8,9487.0,27985.1,8367.45,9432.35,31917.9,3267.15,4893.96,37166.8,43578.9,4238.69,2003.28,3019.04,681.065,959.877,5259.37,3815.56,1459.78,6401.02,3854.86,1402.66,12869.0,6665.1,29191.8,2170.93,674.923,1688.84,2038.9,1058.14,4379.94,4072.26,6238.28,5310.95,2356.4,4500.92,39098.3,43701.1,6864.08,8202.87,135700.0,728.352,13772.4,28920.4,29979.1,43898.3,10833.8,10859.0,9684.75,1180.96,3542.27,799.591,3655.89,3738.79,1491.1,4430.91,2209.01,3904.61,1255.27,1134392.0880000002,14732.364779220781
sub-20258,ses-2,24063.3,31426.0,28060.6,18735.1,46951.7,41443.0,5561.52,18197.1,10866.3,40118.3,6291.71,34553.1,9144.32,29287.6,22750.9,32520.4,21059.6,11151.9,21477.8,23141.5,9415.76,29180.8,7702.36,7850.97,32770.3,2948.41,6881.27,40621.9,44247.7,6587.1,934.698,3703.79,405.937,1858.34,5748.21,4432.75,1519.35,5895.6,4012.69,2484.75,15106.2,6431.73,30476.6,1338.18,916.275,1638.49,2236.64,1222.11,4386.69,3795.29,5947.8,4514.43,512.794,4815.97,41235.4,45411.5,6236.44,8068.37,133989.0,,18558.2,31920.4,33154.8,44993.9,11542.5,10985.5,8963.77,1258.96,3248.11,908.291,3351.28,3864.07,1778.51,3975.23,2170.32,4362.13,1449.95,1200770.265,15799.60875
sub-21738,ses-1,21735.7,31757.6,33518.3,19467.1,47272.3,52724.5,19701.7,15961.1,11930.0,45230.9,14479.8,48353.1,12098.9,31584.4,33331.6,37994.7,24560.7,13509.5,20640.1,31209.8,19060.0,34850.4,8613.72,16144.7,37816.0,21334.1,8380.35,40683.9,49593.1,10098.7,4387.92,8367.45,17177.7,1776.66,5650.56,5300.51,1505.22,9357.42,4528.56,2513.61,17714.4,8150.67,45139.4,2247.7,1826.41,,2167.86,1438.28,4100.51,4422.31,12462.4,6621.5,4409.42,4389.77,36155.4,57958.0,7507.68,12781.2,130833.0,3154.76,15523.2,29038.3,30892.9,38306.0,11481.7,8470.63,10943.7,1476.36,3132.65,230.297,3894.17,4396.52,2014.94,5216.38,1896.42,4023.13,866.53,1409486.8769999996,18545.879960526312
sub-20626,ses-1,21706.2,30665.1,37634.8,16703.0,37684.6,44965.0,11677.6,14198.0,13634.8,29624.8,9783.63,42070.0,8511.77,28034.2,19863.3,30608.6,16028.7,12104.4,20880.9,21348.2,12229.1,36279.4,7050.77,12544.1,30861.6,9732.04,7268.78,39667.6,47235.4,4681.48,1311.16,2523.44,8142.68,1410.65,5022.31,4215.35,1529.17,2824.98,4671.03,3329.17,12528.2,5849.54,28777.3,,1236.23,,2506.86,1452.41,5387.72,3369.09,6120.98,6089.66,394.268,4901.95,36915.7,47344.1,2608.19,4389.77,129801.0,4385.47,17305.4,30925.5,32175.2,35142.7,8035.21,10687.0,8170.32,776.868,3386.9,537.974,5121.19,4517.5,2120.57,4794.47,3075.54,4542.68,715.456,1186346.726,15817.956346666668
