subject	AcqGroup
sub-20212	1
sub-20333	1
sub-20336	1
sub-20347	1
sub-20402	1
sub-20410	1
sub-20846	1
sub-20860	1
sub-20934	1
sub-21116	1
sub-21146	1
sub-21514	1
sub-21827	1
sub-21856	1
sub-22745	1
sub-23303	1
sub-20141	2
sub-20350	2
sub-20403	2
sub-20724	2
sub-20794	2
sub-20855	2
sub-20919	2
sub-21050	2
sub-21124	2
sub-21150	2
sub-21345	2
sub-21432	2
sub-21797	2
sub-22520	2
sub-22670	2
sub-22744	2
sub-20238	3
sub-20252	3
sub-20302	3
sub-20427	3
sub-20463	3
sub-20533	3
sub-20823	3
sub-20836	3
sub-21023	3
sub-21038	3
sub-21154	3
sub-21325	3
sub-20953	4
sub-21104	4
sub-21112	4
sub-21193	4
sub-21493	4
sub-21855	4
sub-21553	5
sub-21712	5
sub-21713	5
sub-22473	5
sub-20214	6
sub-20253	6
sub-20968	6
sub-21539	7
sub-21567	7
sub-23676	7
sub-21554	8
sub-22617	8
sub-22618	8
sub-20572	9
sub-21623	9
sub-22510	9
sub-20448	10
sub-20849	10
sub-21088	10
sub-21095	11
sub-22797	11
sub-20842	12
sub-20918	12
sub-21141	13
sub-22653	13
sub-20902	14
sub-20976	14
sub-22798	15
sub-23113	15
sub-20335	16
sub-23582	17
sub-23698	18
sub-138950	19
sub-21580	20
sub-21197	21
sub-21224	22
sub-21516	23
sub-21568	24
sub-21131	25
sub-21118	26
sub-21139	27
sub-21161	28
sub-20983	29
sub-21738	30
sub-22045	31
sub-21560	32
sub-22064	33
sub-22870	34
sub-22654	35
sub-22169	36
sub-20916	37
sub-20923	38
sub-20936	39
sub-20961	40
sub-20966	41
sub-20964	42
sub-21035	43
sub-20866	44
sub-20691	45
sub-20712	46
sub-20612	47
sub-20626	48
sub-20812	49
sub-20721	50
sub-20865	51
sub-20818	52
sub-20328	53
sub-20352	54
sub-20399	55
sub-20494	56
sub-20259	57
sub-20303	58
sub-20310	59
sub-20305	60
sub-20236	61
sub-20258	62
sub-20188	63
sub-20149	64
sub-20139	65
sub-20125	66
sub-20124	67
sub-19861	68
