Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
			datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-dwiVARIANTVoxelSizeDim3C1	datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-dwi__2	datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-dwi	2				0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	140	140	81	0.089	0.00069	199	90	False	LAS+		fmap		81	1	True		1.0	0.75	j	12.4	0.096	False	1.7142900228500366	1.714	1.701
				datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-fmri__1	datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-fmri	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	187	90	90	60	0.08	0.00051	187	90	False	LAS+		fmap		60	1	True		1.0	1.0	j-	7.03	0.045	False	2.4000000953674316	2.4	2.4
				datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-fmri__1	datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-fmri	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	187	90	90	60	0.08	0.00051	187	90	False	LAS+		fmap		60	1	True		1.0	1.0	j	7.03	0.045	False	2.4000000953674316	2.4	2.4
				datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-fmriVARIANTObliquity__1	datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-fmriVARIANTObliquity	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	90	90	60	0.08	0.00051	24	90	False	LAS+		fmap		60	1	False		1.0	1.0	j-	7.03	0.045	False	2.4000000953674316	2.4	2.4
				datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-fmriVARIANTObliquity__1	datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-fmriVARIANTObliquity	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	90	90	60	0.08	0.00051	24	90	False	LAS+		fmap		60	1	False		1.0	1.0	j	7.03	0.045	False	2.4000000953674316	2.4	2.4
				datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-dwiVARIANTObliquity__1	datatype-fmap_direction-AP_fmap-epi_run-01_suffix-epi_acquisition-dwiVARIANTObliquity	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	23	140	140	81	0.089	0.00069	23	90	False	LAS+		fmap		81	1	False		1.0	0.75	j-	12.4	0.096	False	1.7142857313156128	1.714	1.7
				datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-dwiVARIANTObliquity__1	datatype-fmap_direction-PA_fmap-epi_run-01_suffix-epi_acquisition-dwiVARIANTObliquity	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	22	140	140	81	0.089	0.00069	22	90	False	LAS+		fmap		81	1	False		1.0	0.75	j	12.4	0.096	False	1.7142857313156128	1.714	1.7
				datatype-fmap_direction-AP_fmap-epi_run-02_suffix-epi_acquisition-fmriVARIANTObliquity__1	datatype-fmap_direction-AP_fmap-epi_run-02_suffix-epi_acquisition-fmriVARIANTObliquity	1											1	90	90	60	0.08	0.00051	1	90	False	LAS+		fmap		60	1	True		1.0	1.0	j-	7.03	0.045	False	2.4000000953674316	2.4	2.4
				datatype-fmap_direction-PA_fmap-epi_run-02_suffix-epi_acquisition-fmriVARIANTObliquity__1	datatype-fmap_direction-PA_fmap-epi_run-02_suffix-epi_acquisition-fmriVARIANTObliquity	1											1	90	90	60	0.08	0.00051	1	90	False	LAS+		fmap		60	1	True		1.0	1.0	j	7.03	0.045	False	2.4000000953674316	2.4	2.4
				datatype-func_run-01_suffix-bold_task-nback__1	datatype-func_run-01_suffix-bold_task-nback	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	185	90	90	60	0.03	0.00051	185	52	False	LAS+		func	6.0	60	522	True			1.0	j	0.8	0.045	False	2.4	2.4	2.4
