participant_id,session_id,lh_euler,rh_euler,lh_holes,rh_holes,cortex_numvert_lh,cortex_pialsurfarea_lh,cortex_meanthickness_lh,cortex_numvert_rh,cortex_pialsurfarea_rh,cortex_meanthickness_rh,brainseg_brainsegvol,brainsegnotvent_brainsegvolnotvent,ventriclechoroidvol,lhcortex_lhcortexvol,rhcortex_rhcortexvol,cortex_cortexvol,lhcerebralwhitematter_lhcerebralwhitemattervol,rhcerebralwhitematter_rhcerebralwhitemattervol,cerebralwhitematter_cerebralwhitemattervol,subcortgray_subcortgrayvol,totalgray_totalgrayvol,supratentorial_supratentorialvol,supratentorialnotvent_supratentorialvolnotvent,mask_maskvol,lhsurfaceholes,rhsurfaceholes,surfaceholes,estimatedtotalintracranialvol_etiv
sub-21023,ses-1,-10.0,-4.0,6.0,3.0,163178.0,118172.0,2.65531,162539.0,115960.0,2.67067,1359702.0,1347905.0,9298.0,301455.796087,298230.82743,599686.623517,266120.5,263667.5,529788.0,65207.0,785123.623517,1206747.0,1194950.0,1641959.0,6.0,3.0,9.0,1657918.214717
sub-21023,ses-2,-6.0,-6.0,4.0,4.0,163026.0,115414.0,2.64178,164583.0,114693.0,2.61654,1359545.0,1346934.0,10215.0,294754.39235,289997.392306,584751.784656,275783.5,274157.5,549941.0,64782.0,765565.784656,1212176.0,1199565.0,1565665.0,4.0,4.0,8.0,1719374.445156
sub-21035,ses-1,-14.0,-18.0,8.0,10.0,131913.0,97309.3,2.83522,131907.0,96893.7,2.83794,1165318.0,1151721.0,9926.0,264911.532476,265151.263258,530062.795734,212957.0,216095.0,429052.0,53747.0,697754.795734,1026821.0,1013224.0,1428078.0,8.0,10.0,18.0,1398005.171886
sub-21035,ses-2,-14.0,-8.0,8.0,5.0,130662.0,94657.7,2.76346,132220.0,95515.9,2.7846,1172149.0,1153489.0,14436.0,252891.069027,258214.380718,511105.449745,222703.5,226203.5,448907.0,54527.0,679082.449745,1033362.0,1014702.0,1444200.0,8.0,5.0,13.0,1445968.347097
sub-21035,ses-3,-8.0,0.0,5.0,1.0,130015.0,94890.8,2.74826,131752.0,94399.8,2.77534,1164053.0,1145542.0,14130.0,250928.652267,254474.147551,505402.799818,218710.0,224141.0,442851.0,56109.0,677018.799818,1023285.0,1004774.0,1443732.0,5.0,1.0,6.0,1402092.304827
sub-21038,ses-1,-2.0,2.0,2.0,0.0,136276.0,98584.6,2.72849,136293.0,97987.2,2.71801,1174092.0,1162223.0,8713.0,259154.053383,257332.374868,516486.428251,226465.0,226677.0,453142.0,57218.0,682769.428251,1038896.0,1027027.0,1447225.0,2.0,0.0,2.0,1445306.291654
sub-21038,ses-2,-4.0,-4.0,3.0,3.0,132820.0,95978.7,2.67154,133641.0,95901.9,2.66079,1159028.0,1145388.0,10226.0,247081.226243,246503.178216,493584.40446,228814.5,230380.5,459195.0,58299.0,659560.40446,1024483.0,1010843.0,1436252.0,3.0,3.0,6.0,1372087.440388
sub-21050,ses-1,-14.0,-10.0,8.0,6.0,142423.0,107006.0,2.8337,142315.0,107358.0,2.8555,1266044.0,1255344.0,7657.0,293534.527511,296006.707799,589541.23531,226917.0,229693.0,456610.0,62529.0,769565.23531,1119798.0,1109098.0,1554612.0,8.0,6.0,14.0,1599178.463784
sub-21088,ses-1,-12.0,-20.0,7.0,11.0,131523.0,104018.0,2.79702,132640.0,105663.0,2.80136,1185141.0,1154496.0,26280.0,274586.941035,279317.04584,553903.986875,202955.0,201522.0,404477.0,55434.0,723673.986875,1044448.0,1013803.0,1478019.0,7.0,11.0,18.0,1480413.708239
sub-21095,ses-1,-6.0,-6.0,4.0,4.0,112109.0,84879.2,2.68856,112750.0,84539.5,2.68873,959170.0,950529.0,5805.0,218354.036874,217744.956355,436098.993229,174881.5,173943.5,348825.0,53027.0,581171.993229,846954.0,838313.0,1189329.0,4.0,4.0,8.0,1156916.639708
