excluded_scans
sub-20212_ses-1_task-nback_run-01
sub-20212_ses-1_task-rest_run-01
sub-20310_ses-1_task-nback_run-01
sub-20310_ses-2_task-nback_run-01
sub-20310_ses-2_task-rest_run-02
sub-20310_ses-3_task-nback_run-01
sub-20310_ses-3_task-rest_run-01
sub-20333_ses-1_task-nback_run-01
sub-20333_ses-1_task-rest_run-01
sub-20333_ses-1_task-rest_run-02
sub-20352_ses-2_task-rest_acq-VARIANTObliquity_run-01
sub-20352_ses-2_task-rest_acq-VARIANTObliquity_run-02
sub-20448_ses-1_task-nback_run-01
sub-20448_ses-1_task-rest_run-01
sub-20572_ses-1_task-rest_acq-VARIANTObliquity_run-01
sub-20612_ses-1_task-nback_run-01
sub-20612_ses-1_task-rest_run-01
sub-20612_ses-1_task-rest_run-02
sub-20691_ses-1_task-nback_run-01
sub-20691_ses-1_task-rest_run-02
sub-20724_ses-1_task-rest_run-01
sub-20724_ses-1_task-rest_run-02
sub-20812_ses-2_task-nback_run-01
sub-20812_ses-2_task-rest_run-01
sub-20812_ses-2_task-rest_run-02
sub-20812_ses-3_task-nback_acq-VARIANTObliquity_run-01
sub-20812_ses-3_task-rest_acq-VARIANTObliquity_run-01
sub-20812_ses-3_task-rest_acq-VARIANTObliquity_run-02
sub-20836_ses-1_task-rest_run-02
sub-20865_ses-2_task-rest_run-01
sub-20916_ses-1_task-nback_run-01
sub-20916_ses-1_task-rest_run-01
sub-20916_ses-1_task-rest_run-02
sub-20923_ses-1_task-nback_run-01
sub-20923_ses-1_task-rest_run-03
sub-20934_ses-1_task-rest_run-01
sub-20934_ses-1_task-rest_run-02
sub-20936_ses-1_task-rest_run-01
sub-20936_ses-2_task-rest_run-01
sub-20936_ses-2_task-rest_run-02
sub-20953_ses-2_task-nback_run-01
sub-20953_ses-2_task-rest_run-02
sub-20964_ses-1_task-nback_acq-VARIANTObliquity_run-01
sub-20964_ses-1_task-rest_acq-VARIANTObliquity_run-01
sub-20964_ses-1_task-rest_acq-VARIANTObliquity_run-02
sub-20976_ses-1_task-rest_run-01
sub-20976_ses-1_task-rest_run-02
sub-21050_ses-1_task-nback_run-01
sub-21050_ses-1_task-rest_run-01
sub-21112_ses-1_task-nback_run-01
sub-21124_ses-1_task-nback_run-01
sub-21131_ses-1_task-nback_run-01
sub-21131_ses-1_task-rest_acq-VARIANTNumVolumes_run-01
sub-21131_ses-1_task-rest_run-02
sub-21141_ses-1_task-rest_run-01
sub-21154_ses-1_task-rest_run-02
sub-21154_ses-2_task-nback_run-01
sub-21161_ses-2_task-rest_run-03
sub-21197_ses-1_task-rest_run-02
sub-21432_ses-1_task-rest_run-01
sub-21493_ses-1_task-nback_run-01
sub-21493_ses-1_task-rest_run-01
sub-21493_ses-1_task-rest_run-02
sub-22520_ses-1_task-nback_run-01
sub-22520_ses-1_task-rest_run-01
sub-22653_ses-1_task-nback_run-01
sub-22745_ses-1_task-nback_run-01
sub-22745_ses-1_task-rest_run-02
sub-22870_ses-1_task-nback_run-01
sub-22870_ses-1_task-rest_acq-VARIANTNumVolumes_run-03
sub-23582_ses-1_task-rest_acq-VARIANTObliquity_run-01
